Age;Workclass;Education;Marital Status;Occupation;Relationship;Race;Sex;Country;;
29;Private;HS-grad;Divorced;Craft-repair;Not-in-family;White;Male;United-States;;
29;State-gov;Some-college;Never-married;Adm-clerical;Unmarried;Asian-Pac-Islander;Female;Philippines;;
58;Self-emp-not-inc;10th;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
43;Private;Some-college;Married-civ-spouse;Tech-support;Husband;White;Male;United-States;;
72;;11th;Widowed;;Not-in-family;White;Female;United-States;;
24;Local-gov;Some-college;Divorced;Handlers-cleaners;Not-in-family;Black;Male;United-States;;
19;Private;Some-college;Never-married;Prof-specialty;Own-child;White;Male;United-States;;
51;Self-emp-not-inc;9th;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
27;Private;Some-college;Never-married;Sales;Own-child;White;Female;United-States;;
24;Private;HS-grad;Never-married;Handlers-cleaners;Unmarried;Black;Female;United-States;;
43;Private;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;Black;Male;United-States;;
43;Private;Some-college;Divorced;Adm-clerical;Not-in-family;White;Female;United-States;;
17;;11th;Never-married;;Own-child;White;Female;United-States;;
59;Local-gov;HS-grad;Married-civ-spouse;Adm-clerical;Wife;White;Female;United-States;;
50;;Masters;Married-spouse-absent;;Other-relative;White;Male;United-States;;
25;Private;HS-grad;Divorced;Adm-clerical;Not-in-family;White;Male;United-States;;
45;Local-gov;Bachelors;Divorced;Prof-specialty;Unmarried;White;Female;United-States;;
46;Local-gov;11th;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
20;Private;Some-college;Never-married;Other-service;Not-in-family;White;Female;United-States;;
50;Self-emp-not-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
33;Private;HS-grad;Never-married;Farming-fishing;Not-in-family;White;Male;United-States;;
45;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
23;Private;5th-6th;Married-civ-spouse;Transport-moving;Other-relative;White;Male;Mexico;;
23;Local-gov;HS-grad;Never-married;Farming-fishing;Not-in-family;White;Male;Poland;;
25;Private;Some-college;Never-married;Tech-support;Not-in-family;White;Male;United-States;;
18;Private;11th;Never-married;Other-service;Own-child;White;Male;United-States;;
38;Private;HS-grad;Divorced;Handlers-cleaners;Not-in-family;White;Male;United-States;;
32;Private;HS-grad;Never-married;Machine-op-inspct;Not-in-family;White;Male;United-States;;
34;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;Black;Male;United-States;;
53;;Bachelors;Divorced;;Not-in-family;White;Female;United-States;;
65;Private;11th;Widowed;Other-service;Unmarried;Other;Male;United-States;;
23;;HS-grad;Never-married;;Unmarried;Black;Female;United-States;;
25;Private;Some-college;Never-married;Tech-support;Own-child;White;Female;United-States;;
26;Private;Masters;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
22;State-gov;Some-college;Married-civ-spouse;Other-service;Husband;Black;Male;United-States;;
58;;HS-grad;Married-civ-spouse;;Husband;White;Male;United-States;;
23;Private;HS-grad;Married-civ-spouse;Adm-clerical;Wife;White;Female;Mexico;;
38;Private;11th;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
73;Self-emp-not-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
28;Private;HS-grad;Never-married;Exec-managerial;Not-in-family;Asian-Pac-Islander;Female;England;;
32;Private;Assoc-acdm;Never-married;Sales;Not-in-family;Black;Male;United-States;;
31;Private;HS-grad;Separated;Other-service;Unmarried;Black;Female;United-States;;
30;Private;Some-college;Never-married;Handlers-cleaners;Unmarried;White;Female;United-States;;
30;Private;Assoc-acdm;Married-civ-spouse;Other-service;Wife;White;Female;United-States;;
24;Self-emp-not-inc;HS-grad;Never-married;Sales;Not-in-family;White;Male;United-States;;
35;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;Black;Male;United-States;;
30;Private;HS-grad;Widowed;Adm-clerical;Not-in-family;White;Female;United-States;;
29;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male;United-States;;
42;;HS-grad;Married-civ-spouse;;Husband;White;Male;United-States;;
58;State-gov;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
25;Private;Assoc-voc;Never-married;Other-service;Own-child;White;Female;United-States;;
40;Self-emp-not-inc;Bachelors;Married-spouse-absent;Prof-specialty;Not-in-family;White;Female;United-States;;
42;Self-emp-not-inc;Prof-school;Married-civ-spouse;Farming-fishing;Husband;White;Male;United-States;;
44;Private;HS-grad;Married-civ-spouse;Sales;Wife;White;Female;United-States;;
53;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
48;Private;Assoc-voc;Married-civ-spouse;Tech-support;Husband;White;Male;United-States;;
52;Private;Some-college;Married-civ-spouse;Adm-clerical;Husband;White;Male;United-States;;
42;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
